web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,image
"1780934450-21","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Estúdio - localizado em Santo Ildefonso Porto","700 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - Hoje às 12:08","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-22","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T2 Perto da Expo","800 €","Camarate, Unhos E Apelação - 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-23","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T3 com jardim - Quinta do Conde","950 €","Quinta do Conde - 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-24","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrendamento T3 Santa Maria da Feia","900 €","Santa Maria Da Feira, Travanca, Sanfins E Espargo - Hoje às 16:46","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-25","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Andar de moradia T2 para arrendamento em Salgueiro do Campo, Castelo B","325 €","Salgueiro do Campo - Hoje às 14:00","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-26","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T1 Completamente Remodelado no Campo Pequeno","1.450 €Negociável","Avenidas Novas - 05 de junho de 2026","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-27","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T3 para arrendamento","1.400 €","Glória E Vera Cruz - Para o topo a 07 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-28","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","TO mobilado _ Edifício Alameda nas Antas (Porto)","850 €Negociável","Campanhã - Para o topo hoje às 14:52","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-29","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrendo apartamento T3","700 €Negociável","Setúbal (São Julião, Nossa Senhora Da Anunciada E Santa Maria Da Graça) - Hoje às 08:50","Negociável","Seguir",""
"1780934450-30","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T2 Mobilado e Equipado- Póvoa de Varzim","850 €","Póvoa De Varzim, Beiriz E Argivai - Hoje às 15:01","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-31","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Agualva (Igreja St. Maria) T2 Totalmente Remodelado","1.000 €","Agualva E Mira-Sintra - Hoje às 12:40","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-32","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T2 Ótima Localização","550 €","Covilhã E Canhoso - Hoje às 16:33","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-33","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T3 junto ao Metro D. João II | Garagem | Av. República","1.350 €Negociável","Urgezes - Para o topo a 07 de junho de 2026","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-34","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda-se T1 remodelado em Camarate","750 €","Camarate, Unhos E Apelação - 06 de junho de 2026","","Seguir",""
"1780934450-35","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T1 no Bairro do Alboi no centro de Aveiro","1.000 €","Glória E Vera Cruz - Hoje às 16:20","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-36","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T3 Nogueira","780 €","Nogueira, Fraião E Lamaçães - Hoje às 15:59","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-37","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T1 Arrendamento em Vilar de Pinheiro,Vila do Conde","800 €","Vilar De Pinheiro - Hoje às 11:43","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-38","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T2 para Arrendamento","500 €","Alter do Chão - Hoje às 11:19","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-39","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","T1 para arrendar em Pragal, Almada, entrada imediata","850 €","Almada, Cova Da Piedade, Pragal E Cacilhas - Para o topo a 06 de junho de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-40","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamentos Novos T2 para arrendar - Urgezes, Guimarães","890 €","Urgezes - 21 de maio de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-41","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrenda-se T2 Moderno no Centro de Gondomar","1.200 €","Gondomar (São Cosme), Valbom E Jovim - 29 de maio de 2026","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-42","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Arrendo T1 na rua dos Clerigos","950 €","Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau E Vitória - Hoje às 15:57","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-43","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T3 para arrendamento","1.100 €","Setúbal (São Julião, Nossa Senhora Da Anunciada E Santa Maria Da Graça) - Hoje às 16:46","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1780934450-44","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-arrenda/","","Apartamento T2 mobilado Praia da Barra - ARRENDAMENTO","800 €","Gafanha Da Nazaré - Hoje às 16:29","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
