web_scraper_order,web_scraper_start_url,pagination,data,data2,data3,data4,data5,data6,data7,data8,image
"1781563516-29","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 - 1° Andar Av. Bocage Totalmente Remodelado","272.000 €","Alto Do Seixalinho, Santo André E Verderena - 07 de junho de 2026","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-30","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento Viso T3 com Suite 137 m2 com elevador","362.000 €","Setúbal (São Julião, Nossa Senhora Da Anunciada E Santa Maria Da Graça) - 03 de junho de 2026","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-31","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","","","","","","","","",""
"1781563516-32","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T1 Matriz - Póvoa de Varzim","215.000 €Negociável","Póvoa De Varzim, Beiriz E Argivai - 28 de maio de 2026","","","","Negociável","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-33","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Oportunidade Única Em Benfica - Espaço, Localização E Potencial Num...","990.000 €","Benfica - Hoje às 15:52","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-34","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 a Poucos Minutos da Praia","225.000 €","Gafanha Da Nazaré - Hoje às 20:22","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-35","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T3, S.Vitor, Braga","272.500 €","São Victor - Hoje às 13:03","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-36","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 para venda","160.000 €","União de Freguesias da cidade de Santarém - Hoje às 13:46","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-37","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T2 -Remodelado na Verderena-Perto da Estação","267.000 €","Alto Do Seixalinho, Santo André E Verderena - Para o topo hoje às 22:53","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-38","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Apartamento T2 - Aguada de Cima","230.000 €","Aguada de Cima - Hoje às 22:41","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-39","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","Cascais, São domingos de Rana, apartamento T2","325.000 €","Carcavelos E Parede - Hoje às 18:40","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
"1781563516-40","https://www.olx.pt/imoveis/apartamento-casa-a-venda/apartamentos-venda/","","T3 em Mira-Sintra | Vista Panorâmica e Proximidade a Espaços Verdes","250.000 €","Agualva E Mira-Sintra - Hoje às 10:01","","","","","Seguir","https://www.olx.pt/app/static/media/no_thumbnail.15f456ec5.svg"
